type,term,term_id,variant_of,variant_of_id,plural_of,plural_of_id,romanization_of,romanization_of_id,language_id,language,malignant_meaning,benign_meaning,is_about_nationality,nationalities/0,is_about_ethnicity,athnicities/0,is_about_religion,religions/0,is_about_gender,genders/0,is_about_orientation,orientations/0,is_about_disability,is_about_class,is_archaic,offensiveness,created_on,updated_on,athnicities/1,,,
Discrimatory,dimepieces,BUFZmrQkT,,,dimepiece,Arcccgske,,,eng,English,Attractive womans,,N,,N,,N,,N,,N,,N,N,N,Mildly offensive or inoffensive,17/07/2021 19:19,17/07/2021 19:19,,,,
Discrimatory,dimepiece,Arcccgske,,,,,,,eng,English,An attractive woman,,N,,N,,N,,N,,N,,N,N,N,Mildly offensive or inoffensive,17/07/2021 19:19,17/07/2021 19:19,,,,
Discrimatory,cyatties,evjmfA1Qv,,,cyattie,tJYZDkKEB,,,eng,English,Obnoxious women,,N,,N,,N,,N,,N,,N,N,N,Mildly offensive or inoffensive,17/07/2021 19:18,17/07/2021 19:18,,,,
Discrimatory,ratchet,YYEofhHmA,,,,,,,eng,English,An obnoxious woman,A tool used for turning bolts,N,,N,,N,,N,,N,,N,N,N,Mildly offensive or inoffensive,17/07/2021 19:16,17/07/2021 19:17,,,,
Discrimatory,cyat,hKqbRxxjR,cyattie,tJYZDkKEB,,,,,eng,English,Obnoxious woman,,N,,N,,N,,N,,N,,N,N,N,Mildly offensive or inoffensive,17/07/2021 19:16,17/07/2021 19:16,,,,
Discrimatory,cyattie,tJYZDkKEB,,,,,,,eng,English,Obnoxious woman,,N,,N,,N,,N,,N,,N,N,N,Mildly offensive or inoffensive,17/07/2021 19:15,17/07/2021 19:15,,,,
Discrimatory,blue eyed devils,FGbEyhxMu,,,blue eyed devil,QDzmWgvCb,,,eng,English,"Initially a slur against Europeans, has been reclaimed by white supremacists",,N,,Y,European,N,,N,,N,,N,N,N,Significantly offensive,18/04/2021 21:38,18/04/2021 21:38,,,,
Discrimatory,blue eyed devil,QDzmWgvCb,,,,,,,eng,English,"Initially a slur against Europeans, has been reclaimed by white supremacists",,N,,Y,European,N,,N,,N,,N,N,N,Significantly offensive,18/04/2021 21:38,18/04/2021 21:38,,,,
Discrimatory,Osama,PfqGYMzQv,Bin Laden,dBAhoTNMm,,,,,eng,English,A Muslim,"al-Qaeda founder, Osama Bin Laden",N,,N,European,Y,Islam,N,,N,,N,N,N,Extremely offensive,16/04/2021 19:00,18/04/2021 21:33,,,,
Discrimatory,Bin Laden,dBAhoTNMm,,,,,,,eng,English,A Muslim,"al-Qaeda founder, Osama Bin Laden",N,,N,European,Y,Islam,N,,N,,N,N,N,Extremely offensive,16/04/2021 18:59,18/04/2021 21:31,,,,
Discrimatory,woodpile,UduMbNeXr,,,wood,oqUypExGN,,,eng,English,[1] Used by southern African-Americans and upper class whites to denote poor rural whites. It is still used mostly by African-Americans in reference to white people. [2] Reclaimed by white supremacists to refer to white prison gang members.,,N,,Y,European,N,Islam,N,,N,,N,N,N,Very offensive,18/04/2021 14:47,18/04/2021 14:47,,,,
Discrimatory,wood,oqUypExGN,peckerwood,tgGbEbava,,,,,eng,English,[1] Used by southern African-Americans and upper class whites to denote poor rural whites. It is still used mostly by African-Americans in reference to white people. [2] Reclaimed by white supremacists to refer to white prison gang members.,,N,,Y,European,N,Islam,N,,N,,N,N,N,Very offensive,18/04/2021 14:47,18/04/2021 14:47,,,,
